VARIABLES =  "gamma" "Te" "he" "qw" "qwcond" "qwdiff" "xe" "mue" "ve"
  0.100000000000000        4880.03167563636        13085576.8483674     
   599997.200000000        339681.600000000        260315.600000000     
  8.158850848076030E-004  1.566346471938727E-004   667.604977390403     
  7.278953843983151E-002   4928.16541475174        13555557.2632578     
   599994.300000000        350056.700000000        249937.600000000     
  8.005914422713286E-004  1.579313090100530E-004   673.951445273869     
  5.298316906283707E-002   4985.92547676759        14168662.8935133     
   599998.100000000        361753.200000000        238244.900000000     
  7.819639740669878E-004  1.594856941561299E-004   681.931466294175     
  3.856620421163472E-002   5055.19600596460        14978338.6629434     
   599998.400000000        373504.800000000        226493.600000000     
  7.592595770865579E-004  1.613400436014188E-004   692.052419589508     
  2.807216203941177E-002   5140.99831702326        16098896.9862796     
   599998.600000000        382618.900000000        217379.700000000     
  7.306831260170261E-004  1.636047649150247E-004   705.455504295977     
  2.043359717856942E-002   5254.21723275998        17781285.2111930     
   599996.600000000        385678.700000000        214317.900000000     
  6.925315343100485E-004  1.664930277140432E-004   724.626867263752     
  1.487352107293512E-002   5407.25644272922        20405447.7266514     
   599995.300000000        383715.400000000        216279.900000000     
  6.412618680175285E-004  1.700938689044597E-004   753.037405844370     
  1.082636733874055E-002   5604.60702435250        24227136.8465082     
   599998.900000000        385014.000000000        214984.900000000     
  5.787919698457436E-004  1.739950644815886E-004   792.634612991060     
  7.880462815669913E-003   5849.63251676887        29049930.1440264     
   599999.000000000        397654.900000000        202344.100000000     
  5.130242349948968E-004  1.776601353850876E-004   841.909274268254     
  5.736152510448681E-003   6155.90791615045        33916417.1042958     
   599995.300000000        423585.300000000        176410.000000000     
  4.542026725265498E-004  1.815686366796134E-004   894.765560606032     
  4.175318936560400E-003   6532.86040603952        37449847.6777995     
   599998.900000000        457624.200000000        142374.700000000     
  4.095986341719617E-004  1.873586267844767E-004   942.225211918498     
  3.039195382313198E-003   6922.84512002066        39328525.6648891     
   599996.600000000        491015.700000000        108980.900000000     
  3.798855887849688E-004  1.946550667145938E-004   978.379849010455     
  2.212216291070450E-003   7250.36857685257        40322468.2742936     
   599996.050000000        518514.900000000        81481.1500000000     
  3.606845516697012E-004  2.012884881266858E-004   1004.08416212011     
  1.610262027560939E-003   7500.67285312870        40935807.1440146     
   599997.770000000        539669.000000000        60328.7700000000     
  3.479288342757420E-004  2.064853141045508E-004   1022.32426516068     
  1.172102297533480E-003   7686.31694396522        41351084.0981418     
   599994.380000000        555547.100000000        44447.2800000000     
  3.392187006019800E-004  2.103706701061358E-004   1035.36620115817     
  8.531678524172806E-004   7822.72623315901        41643740.7681348     
   599995.120000000        567340.900000000        32654.2200000000     
  3.331511750138017E-004  2.132334665544433E-004   1044.75197407907     
  6.210169418915617E-004   7922.55855676582        41853446.1996492     
   599998.250000000        576046.100000000        23952.1500000000     
  3.288686884659546E-004  2.153306149130014E-004   1051.53228434114     
  4.520353656360245E-004   7995.42913569672        42004745.0488984     
   599997.990000000        582441.100000000        17556.8900000000     
  3.258208353742567E-004  2.168618185591353E-004   1056.43905297161     
  3.290344562312668E-004   8048.55295053969        42114289.9178003     
   599994.570000000        587124.700000000        12869.8700000000     
  3.236383324720073E-004  2.179781301098163E-004   1059.99519326679     
  2.395026619987486E-004   8087.36493142668        42193981.7479495     
   599999.342000000        590557.900000000        9441.44200000000     
  3.220640990775884E-004  2.187936607134123E-004   1062.58263679028     
  1.743328822199987E-004   8115.56506806559        42251724.5902361     
   599995.545000000        593058.500000000        6937.04500000000     
  3.209307728728894E-004  2.193861690742909E-004   1064.45717066741     
  1.268961003167922E-004   8136.15182769467        42293800.5405560     
   599997.031000000        594887.600000000        5109.43100000000     
  3.201088949234004E-004  2.198186840549666E-004   1065.82278858296     
  9.236708571873866E-005   8151.15499918993        42324425.9038756     
   599999.048000000        596222.400000000        3776.64800000000     
  3.195128043673277E-004  2.201338727273555E-004   1066.81653707896     
  6.723357536499335E-005   8162.06638667189        42346679.3783068     
   599999.313000000        597194.100000000        2805.21300000000     
  3.190807937571724E-004  2.203630898155785E-004   1067.53848602939     
  4.893900918477499E-005   8169.96302062649        42362774.4631848     
   599995.117000000        597897.700000000        2097.41700000000     
  3.187689329370906E-004  2.205289694961033E-004   1068.06056008895     
  3.562247890262444E-005   8175.75620486206        42374577.1109377     
   599996.150000000        598414.300000000        1581.85000000000     
  3.185405621122813E-004  2.206506599517001E-004   1068.44335298279     
  2.592943797404667E-005   8179.94364701287        42383105.6679695     
   599994.177000000        598787.800000000        1206.37700000000     
  3.183757105250924E-004  2.207386186901906E-004   1068.71993149082     
  1.887391822135099E-005   8183.02496493681        42389379.9782882     
   599995.769200000        599062.800000000        932.969200000000     
  3.182545225005599E-004  2.208033418917311E-004   1068.92339082724     
  1.373823795883264E-005   8185.26822488971        42393947.0575735     
   599996.902400000        599263.000000000        733.902400000000     
  3.181663578270049E-004  2.208504611140535E-004   1069.07148118276     
  1.000000000000000E-005   8186.90129107793        42397271.4459592     
   599997.773800000        599408.800000000        588.973800000000     
  3.181022081357571E-004  2.208847630508467E-004   1069.17927222425   
