VARIABLES =  "gamma" "Te" "he" "qw" "qwcond" "qwdiff" "xe" "mue" "ve"
   1.00000000000000        4222.07581769259        9189751.63902790     
   409999.300000000        209448.400000000        200550.900000000     
  2.027317794290444E-003  1.391941079567566E-004   239.578574115036     
  0.672335753649934        4231.51019992674        9214811.52876757     
   409999.300000000        210212.200000000        199787.100000000     
  2.022113486311520E-003  1.394350149371265E-004   239.886677732704     
  0.452035365636024        4245.23705884905        9251792.25887790     
   409998.700000000        211335.700000000        198663.000000000     
  2.014560585996372E-003  1.397854636420859E-004   240.335943788105     
  0.303919538231320        4265.01565171865        9306200.78914301     
   409998.600000000        212981.200000000        197017.400000000     
  2.003715524410650E-003  1.402903150842357E-004   240.985473165378     
  0.204335971785694        4293.05743540317        9385740.31170107     
   409996.300000000        215371.500000000        194624.800000000     
  1.988408616588250E-003  1.410060000016014E-004   241.911257668227     
  0.137382379588326        4332.01493793890        9501266.68436518     
   409997.900000000        218812.900000000        191185.000000000     
  1.967258297139473E-003  1.420004180018291E-004   243.208197081348     
  9.236708571873861E-002   4384.45528072985        9666932.85274983     
   409999.100000000        223690.600000000        186308.500000000     
  1.938951455547974E-003  1.433400117656049E-004   244.977071440881     
  6.210169418915616E-002   4452.22055141922        9900501.06190600     
   409999.100000000        230469.100000000        179530.000000000     
  1.902544730833521E-003  1.450744633544238E-004   247.309885687275     
  4.175318936560400E-002   4535.43177496340        10222072.7106761     
   409999.000000000        239651.400000000        170347.600000000     
  1.857905546117124E-003  1.472125433530459E-004   250.263267950418     
  2.807216203941176E-002   4631.71602407916        10650551.1284256     
   409999.300000000        251683.200000000        158316.100000000     
  1.806026920480673E-003  1.497025485505495E-004   253.832270142906     
  1.887391822135097E-002   4736.28437614600        11197471.8791546     
   409997.100000000        266757.000000000        143240.100000000     
  1.749003891482232E-003  1.524313442074714E-004   257.936960455831     
  1.268961003167922E-002   4843.47623692123        11862857.6782207     
   409999.200000000        284448.000000000        125551.200000000     
  1.689404926229736E-003  1.552582483348969E-004   262.447303098335     
  8.531678524172805E-003   4950.68274210354        12652782.5006619     
   409997.100000000        302912.100000000        107085.000000000     
  1.628312793260462E-003  1.581138545852859E-004   267.325326535950     
  5.736152510448676E-003   5076.63104242150        13765095.7636053     
   409998.690000000        316214.000000000        93784.6900000000     
  1.554410792183897E-003  1.614918293918225E-004   273.606344313918     
  3.856620421163472E-003   5254.10356686350        15720637.5973689     
   409996.760000000        320948.500000000        89048.2600000000     
  1.446589922347533E-003  1.662275003856891E-004   283.619711939470     
  2.592943797404667E-003   5423.17989751848        18045125.3943551     
   409996.750000000        330729.800000000        79266.9500000000     
  1.341409592283737E-003  1.705682425294380E-004   294.529286850699     
  1.743328822199987E-003   5551.84348571988        20109622.8662488     
   409998.960000000        345977.100000000        64021.8600000000     
  1.261710444888529E-003  1.736319532172431E-004   303.689221748746     
  1.172102297533479E-003   5643.35315965650        21710994.4895477     
   409999.570000000        361649.000000000        48350.5700000000     
  1.206365436310091E-003  1.756290923680939E-004   310.577367291565     
  7.880462815669905E-004   5707.14978301245        22877716.6540268     
   410003.280000000        374937.300000000        35065.9800000000     
  1.168906620717051E-003  1.769171587905251E-004   315.514516931508     
  5.298316906283707E-004   5751.19728277824        23700550.2456996     
   410000.420000000        385164.300000000        24836.1200000000     
  1.143739966000476E-003  1.777540147284859E-004   318.966894237461     
  3.562247890262441E-004   5781.42829556789        24270860.7198685     
   409999.850000000        392638.600000000        17361.2500000000     
  1.126845288806337E-003  1.783034950404648E-004   321.349117941566     
  2.395026619987484E-004   5802.05736753019        24661737.3111098     
   409999.180000000        397935.600000000        12063.5800000000     
  1.115507938381458E-003  1.786669844040460E-004   322.977988872876     
  1.610262027560939E-004   5816.09776540673        24928268.5138201     
   410002.600000000        401624.100000000        8378.50000000000     
  1.107884726131403E-003  1.789091508676254E-004   324.087268559561     
  1.082636733874054E-004   5825.58427752794        25108485.5039978     
   409998.660000000        404153.800000000        5844.86000000000     
  1.102778043402081E-003  1.790704120990839E-004   324.836784072162     
  7.278953843983146E-005   5832.01087685860        25230604.0280622     
   409999.197000000        405883.000000000        4116.19700000000     
  1.099339095883569E-003  1.791785895003973E-004   325.344463526125     
  4.893900918477489E-005   5836.34311574509        25312930.4679852     
   409998.709000000        407056.200000000        2942.50900000000     
  1.097030349816723E-003  1.792510305679853E-004   325.686633858732     
  3.290344562312664E-005   5839.27156091775        25368579.7772961     
   410000.447000000        407852.200000000        2148.24700000000     
  1.095474078819903E-003  1.792997796084807E-004   325.917892833214     
  2.212216291070446E-005   5841.23713139638        25405930.4401120     
   409999.982000000        408388.100000000        1611.88200000000     
  1.094431494990445E-003  1.793324014736607E-004   326.073094686526     
  1.487352107293512E-005   5842.57673626257        25431385.4349428     
   410004.038000000        408753.800000000        1250.23800000000     
  1.093721854312575E-003  1.793545892407174E-004   326.178860625546     
  1.000000000000000E-005   5843.46115603789        25448190.6329727     
   410002.384000000        408995.800000000        1006.58400000000     
  1.093253751004502E-003  1.793692177903208E-004   326.248683824088    
