VARIABLES =  "gamma" "Te" "he" "qw" "qwcond" "qwdiff" "xe" "mue" "ve"
   1.00000000000000        3050.04536016628        5779575.86514315     
   191701.140000000        80802.3400000000        110898.800000000     
  3.054710333620472E-003  1.037517284004255E-004   195.174906307327     
  0.672335753649934        3054.55328046503        5803914.70281695     
   191699.630000000        81050.5300000000        110649.100000000     
  3.047360805791995E-003  1.039380682081617E-004   195.410122731457     
  0.452035365636024        3061.26351768012        5840025.61873706     
   191699.150000000        81420.3500000000        110278.800000000     
  3.036487183744478E-003  1.042148789241581E-004   195.759690392600     
  0.303919538231320        3071.24504921137        5893454.54139235     
   191698.690000000        81971.2900000000        109727.400000000     
  3.020461966102639E-003  1.046252965409044E-004   196.278309578388     
  0.204335971785694        3086.10626357700        5972291.51690356     
   191698.770000000        82793.3700000000        108905.400000000     
  2.996940418536820E-003  1.052330943049527E-004   197.047050544648     
  0.137382379588326        3108.27606220578        6088072.72630568     
   191698.620000000        84023.6200000000        107675.000000000     
  2.962622850023467E-003  1.061316480807606E-004   198.185011407305     
  9.236708571873861E-002   3141.51881126639        6256835.94560725     
   191698.530000000        85876.7300000000        105821.800000000     
  2.912949246231270E-003  1.074580284175862E-004   199.867658960212     
  6.210169418915616E-002   3191.91780448060        6499480.15534167     
   191699.330000000        88704.1300000000        102995.200000000     
  2.841825604159071E-003  1.094137129760943E-004   202.353286689746     
  4.175318936560400E-002   3269.92033472951        6838746.77564394     
   191699.140000000        93118.8500000000        98580.2900000000     
  2.741638738110781E-003  1.122942514728925E-004   206.017371395293     
  2.807216203941176E-002   3393.81082021975        7284625.90369459     
   191699.050000000        100222.800000000        91476.2500000000     
  2.604967794110279E-003  1.165041775957399E-004   211.352674325781     
  1.887391822135097E-002   3584.32914258061        7797944.68463108     
   191699.050000000        111427.700000000        80271.3500000000     
  2.435275582824816E-003  1.222879307798021E-004   218.592289717977     
  1.268961003167922E-002   3819.43681537763        8295090.85648065     
   191701.220000000        126105.900000000        65595.3200000000     
  2.266551762495394E-003  1.287610742871334E-004   226.582341878627     
  8.531678524172805E-003   4031.89416461652        8735190.82026389     
   191699.090000000        140957.900000000        50741.1900000000     
  2.135281619408185E-003  1.343176925173697E-004   233.443239863621     
  5.736152510448676E-003   4192.39647186937        9112722.19255309     
   191698.330000000        153803.000000000        37895.3300000000     
  2.043765734842321E-003  1.384359144276020E-004   238.612578146707     
  3.856620421163472E-003   4311.79116518748        9440536.62780601     
   191699.590000000        163992.500000000        27707.0900000000     
  1.978222732834833E-003  1.414841475364370E-004   242.533260404729     
  2.592943797404667E-003   4413.07865784041        9762747.79741429     
   191698.950000000        171552.400000000        20146.5500000000     
  1.923557154685623E-003  1.440720489864668E-004   245.955400219562     
  1.743328822199987E-003   4511.61187024802        10125756.5544216     
   191699.750000000        176968.000000000        14731.7500000000     
  1.870690132653321E-003  1.465993617810600E-004   249.406630742070     
  1.172102297533479E-003   4600.29068300295        10503414.7454348     
   191699.200000000        180957.100000000        10742.1000000000     
  1.823007159091717E-003  1.488876788392393E-004   252.647352006706     
  7.880462815669905E-004   4670.57923039283        10843105.3087217     
   191699.899000000        183973.600000000        7726.29900000000     
  1.784938764670285E-003  1.507135008280700E-004   255.327322276588     
  5.298316906283707E-004   4722.53444330451        11120163.4440525     
   191699.445000000        186230.600000000        5468.84500000000     
  1.756556964778248E-003  1.520709272132041E-004   257.381805649950     
  3.562247890262441E-004   4759.62005608022        11332680.7543479     
   191699.611000000        187882.400000000        3817.21100000000     
  1.736140905030764E-003  1.530441717708002E-004   258.890721798560     
  2.395026619987484E-004   4785.53586565182        11488945.0620130     
   191699.092000000        189063.700000000        2635.39200000000     
  1.721786278425974E-003  1.537264555441532E-004   259.967678648516     
  1.610262027560939E-004   4803.43518360423        11600755.7979941     
   191699.874000000        189895.000000000        1804.87400000000     
  1.711826751886045E-003  1.541987307825741E-004   260.722839529121     
  1.082636733874054E-004   4815.66848460177        11679050.3038418     
   191699.573000000        190470.600000000        1228.97300000000     
  1.704997736716115E-003  1.545219928966073E-004   261.244455296916     
  7.278953843983146E-005   4823.98662443056        11733174.6502429     
   191699.166200000        190865.700000000        833.466200000000     
  1.700343728437352E-003  1.547420207007662E-004   261.601738197806     
  4.893900918477489E-005   4829.62427900808        11770271.2756552     
   191698.974600000        191135.300000000        563.674600000000     
  1.697184511134794E-003  1.548912472050092E-004   261.845104647316     
  3.290344562312664E-005   4833.45075603265        11795642.1016930     
   191699.896000000        191319.400000000        380.496000000000     
  1.695037937182666E-003  1.549925790604904E-004   262.010851416177     
  2.212216291070446E-005   4836.02131140292        11812773.4442070     
   191699.710700000        191443.200000000        256.510700000000     
  1.693594856917586E-003  1.550606729110485E-004   262.122455315983     
  1.487352107293512E-005   4837.74138289405        11824276.2906373     
   191698.773500000        191526.000000000        172.773500000000     
  1.692628754036858E-003  1.551062468945390E-004   262.197250829868     
  1.000000000000000E-005   4838.91406696264        11832136.7349127     
   191699.105600000        191582.800000000        116.305600000000     
  1.691969880379165E-003  1.551373219376480E-004   262.248297450488    
