VARIABLES =  "gamma" "Te" "he" "qw" "qwcond" "qwdiff" "xe" "mue" "ve"
  1.000000000000000E-001   5377.42553952715        13203758.5030804     
   785903.800000000        431123.000000000        354780.800000000     
  1.000946088877779E-002  1.681357125027628E-004   141.354625561133     
  7.278953843983151E-002   5384.71338884971        13255438.8659804     
   785898.600000000        433585.100000000        352313.500000000     
  9.986324625143051E-003  1.683289702156267E-004   141.518276222494     
  5.298316906283707E-002   5394.49243088638        13325536.7481026     
   785898.100000000        436997.000000000        348901.100000000     
  9.955241282296436E-003  1.685884117155523E-004   141.739036728125     
  3.856620421163472E-002   5407.46866695467        13419895.6002046     
   785897.300000000        441726.100000000        344171.200000000     
  9.913927097833597E-003  1.689328818197064E-004   142.034064379405     
  2.807216203941177E-002   5424.45260655403        13545740.6949818     
   785896.000000000        448282.900000000        337613.100000000     
  9.859734748256507E-003  1.693840682201449E-004   142.423863878938     
  2.043359717856942E-002   5446.26357411101        13711312.2800630     
   785896.000000000        457354.400000000        328541.600000000     
  9.789943035681065E-003  1.699639646162720E-004   142.930628230899     
  1.487352107293512E-002   5473.52145553822        13924616.1078086     
   785894.800000000        469804.900000000        316089.900000000     
  9.702410597753078E-003  1.706892881186620E-004   143.573923000483     
  1.082636733874055E-002   5506.35172621803        14191162.0623941     
   785892.600000000        486586.600000000        299306.000000000     
  9.596528682817433E-003  1.715634849292683E-004   144.363804172040     
  7.880462815669913E-003   5544.02242080012        14510319.5576289     
   785892.600000000        508454.100000000        277438.500000000     
  9.474437350049436E-003  1.725668164106012E-004   145.290994519760     
  5.736152510448681E-003   5584.74078752089        14871733.9459590     
   785898.500000000        535495.200000000        250403.300000000     
  9.341780463548277E-003  1.736507462542529E-004   146.318955878135     
  4.175318936560400E-003   5625.87966827837        15254673.6998794     
   785898.700000000        566662.400000000        219236.300000000     
  9.207078334097030E-003  1.747441387935607E-004   147.385416899816     
  3.039195382313198E-003   5664.71086272663        15632911.9441569     
   785898.400000000        599851.400000000        186047.000000000     
  9.079371925944726E-003  1.757734152725451E-004   148.418330080916     
  2.212216291070450E-003   5699.09720190950        15981700.8158680     
   785898.700000000        632510.400000000        153388.300000000     
  8.965888690475522E-003  1.766816057468669E-004   149.354661734270     
  1.610262027560939E-003   5727.80273504376        16282953.2202609     
   785892.300000000        662465.900000000        123426.400000000     
  8.870914509246732E-003  1.774366987555182E-004   150.152049764366     
  1.172102297533480E-003   5750.61672216704        16528973.9218569     
   785893.310000000        688368.300000000        97525.0100000000     
  8.795305788365621E-003  1.780344162129204E-004   150.796060901109     
  8.531678524172806E-004   5767.99333637904        16720297.3606751     
   785895.360000000        709715.700000000        76179.6600000000     
  8.737656385495637E-003  1.784880436082782E-004   151.292706704550     
  6.210169418915617E-004   5780.80912012168        16863591.2770534     
   785896.930000000        726668.300000000        59228.6300000000     
  8.695111129372334E-003  1.788216114321568E-004   151.662394580310     
  4.520353656360245E-004   5790.07630347134        16968366.0166454     
   785897.730000000        739770.600000000        46127.1300000000     
  8.664334801694731E-003  1.790622528982303E-004   151.931514478205     
  3.290344562312668E-004   5796.71955441394        17044072.8448334     
   785898.320000000        749709.700000000        36188.6200000000     
  8.642267662349087E-003  1.792344532902110E-004   152.125362196632     
  2.395026619987486E-004   5801.47380883206        17098559.2917963     
   785898.630000000        757155.100000000        28743.5300000000     
  8.626473170524836E-003  1.793575270499163E-004   152.264564625857     
  1.743328822199987E-004   5804.87444390587        17137689.4576999     
   785894.080000000        762681.000000000        23213.0800000000     
  8.615174720764156E-003  1.794454748321570E-004   152.364376624449     
  1.268961003167922E-004   5807.32725788304        17165994.5634066     
   785895.460000000        766766.500000000        19128.9600000000     
  8.607024939264357E-003  1.795088653205043E-004   152.436494849217     
  9.236708571873866E-005   5809.09464103096        17186432.1074308     
   785895.720000000        769770.700000000        16125.0200000000     
  8.601152389259075E-003  1.795545181091478E-004   152.488525154679     
  6.723357536499335E-005   5810.37383277399        17201246.3883411     
   785897.100000000        771975.100000000        13922.0000000000     
  8.596901875579847E-003  1.795875482122025E-004   152.526217606693     
  4.893900918477499E-005   5811.30047130484        17211989.3258379     
   785898.290000000        773588.600000000        12309.6900000000     
  8.593822782940748E-003  1.796114684980804E-004   152.553539665073     
  3.562247890262444E-005   5811.97142094989        17219774.0113092     
   785898.530000000        774767.100000000        11131.4300000000     
  8.591593285893271E-003  1.796287849889796E-004   152.573332078592     
  2.592943797404667E-005   5812.44921102510        17225320.6701344     
   785893.170000000        775622.000000000        10271.1700000000     
  8.590005626753073E-003  1.796411144760319E-004   152.587431257823     
  1.887391822135099E-005   5812.80564121655        17229460.1457125     
   785894.930000000        776251.100000000        9643.83000000000     
  8.588821230930759E-003  1.796503112853233E-004   152.597951810131     
  1.373823795883264E-005   5813.06496840754        17232472.7988696     
   785896.406000000        776709.900000000        9186.50600000000     
  8.587959499253407E-003  1.796570020744310E-004   152.605607623300     
  1.000000000000000E-005   5813.25343697418        17234662.7513594     
   785897.353000000        777044.100000000        8853.25300000000     
  8.587333225675777E-003  1.796618643983170E-004   152.611172298153     
