VARIABLES =  "gamma" "Te" "he" "qw" "qwcond" "qwdiff" "xe" "mue" "ve"
   1.00000000000000        5359.22331724816        13076746.6075635     
   785906.700000000        425263.600000000        360643.100000000     
  1.006714016046407E-002  1.676533907558079E-004   140.949099663666     
  0.822724134170047        5359.64544916398        13079659.0339971     
   785895.700000000        425396.700000000        360499.000000000     
  1.006580421437285E-002  1.676645703358249E-004   140.958452855784     
  0.676875000945853        5360.18492593096        13083383.3379642     
   785894.500000000        425565.100000000        360329.400000000     
  1.006409678254375E-002  1.676788580601294E-004   140.970409595567     
  0.556881399094527        5360.84026222039        13087910.9223743     
   785893.400000000        425770.100000000        360123.300000000     
  1.006202248053982E-002  1.676962149005642E-004   140.984939534487     
  0.458159766905449        5361.65042353177        13093513.3788202     
   785898.900000000        426023.200000000        359875.700000000     
  1.005945784978553E-002  1.677176733182709E-004   141.002910310038     
  0.376939097538836        5362.61756436946        13100208.9457488     
   785898.600000000        426327.400000000        359571.200000000     
  1.005639589783822E-002  1.677432909974372E-004   141.024374897020     
  0.310116892657478        5363.79001002910        13108336.8928598     
   785898.400000000        426697.500000000        359200.900000000     
  1.005268338477802E-002  1.677743488483651E-004   141.050413134532     
  0.255140652003129        5365.20884108395        13118189.1058461     
   785897.500000000        427147.700000000        358749.800000000     
  1.004818986462025E-002  1.678119363843077E-004   141.081948377823     
  0.209910372010855        5366.92857084614        13130154.5537092     
   785897.700000000        427696.500000000        358201.200000000     
  1.004274215316119E-002  1.678574996569818E-004   141.120208456415     
  0.172698329065944        5369.00699103803        13144650.5878096     
   785897.300000000        428364.500000000        357532.800000000     
  1.003615639443168E-002  1.679125725579549E-004   141.166502795288     
  0.142083083253392        5371.51563758423        13162198.2484373     
   785896.000000000        429177.900000000        356718.100000000     
  1.002820477996979E-002  1.679790545159214E-004   141.222459125379     
  0.116895181649858        5374.54543578029        13183465.8481650     
   785896.200000000        430170.300000000        355725.900000000     
  1.001859744584990E-002  1.680593607656948E-004   141.290155774476     
  9.617248711152965E-002   5378.18672360305        13209134.0347939     
   785893.300000000        431378.800000000        354514.500000000     
  1.000704554811554E-002  1.681558936714566E-004   141.371683551086     
  7.912342618981323E-002   5382.57137046139        13240199.7078439     
   785893.900000000        432855.600000000        353038.300000000     
  9.993127286346928E-003  1.682721603295913E-004   141.470099705128     
  6.509675230458170E-002   5387.83641009210        13277731.2854628     
   785898.800000000        434660.800000000        351238.000000000     
  9.976402689705198E-003  1.684118100625589E-004   141.588631800985     
  5.355666917706899E-002   5394.11444960334        13322811.2204971     
   785898.800000000        436862.600000000        349036.200000000     
  9.956443542173394E-003  1.685783811957446E-004   141.730478807894     
  4.406236427773573E-002   5401.58594019782        13376927.5664551     
   785897.900000000        439552.900000000        346345.000000000     
  9.932666404937028E-003  1.687766894646376E-004   141.900017499082     
  3.625117049988533E-002   5410.44094501006        13441726.3786376     
   785898.300000000        442842.600000000        343055.700000000     
  9.904452849954696E-003  1.690118159905732E-004   142.101980752596     
  2.982471286216891E-002   5420.86921843054        13518966.0463136     
   785897.800000000        446863.200000000        339034.600000000     
  9.871179809277889E-003  1.692888448084684E-004   142.341273530673     
  2.453751106639818E-002   5433.06214014664        13610561.4154279     
   785896.000000000        451773.400000000        334122.600000000     
  9.832212089024173E-003  1.696129135609722E-004   142.623064121800     
  2.018760254679039E-002   5447.20076004194        13718527.6234768     
   785896.200000000        457761.400000000        328134.800000000     
  9.786939214322062E-003  1.699888926026394E-004   142.952560862821     
  1.660882782627716E-002   5463.41106952739        13844661.5015055     
   785895.600000000        465036.100000000        320859.500000000     
  9.734918039593844E-003  1.704201872186683E-004   143.334006212906     
  1.366448349295326E-002   5481.75721766110        13990482.4609006     
   785896.500000000        473824.500000000        312072.000000000     
  9.675895622469084E-003  1.709085414693087E-004   143.770507816129     
  1.124210035062087E-002   5502.18497167965        14156740.2852420     
   785895.400000000        484342.400000000        301553.000000000     
  9.609994261061362E-003  1.714525112508324E-004   144.262626661696     
  9.249147277217335E-003   5524.51435996118        14343242.4276957     
   785894.300000000        496765.300000000        289129.000000000     
  9.537741805525473E-003  1.720472424830198E-004   144.808023107578     
  7.609496685459884E-003   5548.40696240676        14548408.3059580     
   785895.800000000        511189.800000000        274706.000000000     
  9.460186522234232E-003  1.726835798473156E-004   145.400386935394     
  6.260516572014822E-003   5573.35842853154        14768959.1617745     
   785894.400000000        527566.900000000        258327.500000000     
  9.378932653173640E-003  1.733478658428933E-004   146.028865114677     
  5.150678076168122E-003   5598.77277540149        15000318.5641917     
   785895.200000000        545682.600000000        240212.600000000     
  9.295908316599820E-003  1.740239478451631E-004   146.679530062488     
  4.237587160604063E-003   5623.98349132325        15236623.9144821     
   785893.700000000        565141.700000000        220752.000000000     
  9.213301031375472E-003  1.746937985686580E-004   147.335635987135     
  3.486365227678088E-003   5648.36077420266        15471645.5988982     
   785893.800000000        585418.100000000        200475.700000000     
  9.133205226989505E-003  1.753404416512948E-004   147.980275446169     
  2.868316813342012E-003   5671.34972731140        15699232.2073387     
   785894.600000000        605910.600000000        179984.000000000     
  9.057489038959810E-003  1.759490270812807E-004   148.597511853593     
  2.359833466782194E-003   5692.53258744347        15914101.1488212     
   785895.500000000        626023.300000000        159872.200000000     
  8.987579292111353E-003  1.765085081562513E-004   149.174326137030     
  1.941491945743882E-003   5711.61020651708        16111885.7598400     
   785893.600000000        645245.400000000        140648.200000000     
  8.924512776212649E-003  1.770111382018634E-004   149.700482380256     
  1.597312280060256E-003   5728.45984691775        16289957.4508549     
   785894.900000000        663180.800000000        122714.100000000     
  8.868738198225477E-003  1.774539463610842E-004   150.170471700761     
  1.314147362611757E-003   5743.06676579148        16446907.9975839     
   785895.200000000        679556.900000000        106338.300000000     
  8.820338346886948E-003  1.778368672006658E-004   150.581924761373     
  1.081180751076608E-003   5755.52464510775        16582666.5402731     
   785896.290000000        694232.600000000        91663.6900000000     
  8.779027846539477E-003  1.781626911966575E-004   150.935798537968     
  8.895134973108237E-004   5765.99616002625        16698134.1319390     
   785897.160000000        707172.700000000        78724.4600000000     
  8.744284604367707E-003  1.784359830913741E-004   151.235355259339     
  7.318242219076182E-004   5774.69463255034        16794993.1178974     
   785898.210000000        718427.500000000        67470.7100000000     
  8.715412259675002E-003  1.786625741920780E-004   151.485654600432     
  6.020894493336132E-004   5781.85410945662        16875357.2963428     
   785898.060000000        728104.900000000        57793.1600000000     
  8.691641161919089E-003  1.788487709484757E-004   151.692665782105     
  4.953535208959170E-004   5787.71424338943        16941568.2616395     
   785898.380000000        736351.500000000        49546.8800000000     
  8.672180014144746E-003  1.790009635737626E-004   151.862776933148     
  4.075392965871778E-004   5792.49339173160        16995853.4564399     
   785898.550000000        743327.800000000        42570.7500000000     
  8.656306297795329E-003  1.791249365537490E-004   152.001954694435     
  3.352924149249560E-004   5796.37667369782        17040153.1303868     
   785893.790000000        749191.600000000        36702.1900000000     
  8.643406710177456E-003  1.792255718407891E-004   152.115338119269     
  2.758531617629184E-004   5799.54432929547        17076415.5136411     
   785893.420000000        754106.000000000        31787.4200000000     
  8.632883442745392E-003  1.793075949748727E-004   152.208022576801     
  2.269510536694668E-004   5802.12648188290        17106059.2689050     
   785894.300000000        758208.800000000        27685.5000000000     
  8.624304751356801E-003  1.793744121130732E-004   152.283705516877     
  1.867181091291921E-004   5804.23035754437        17130268.0858982     
   785894.170000000        761622.900000000        24271.2700000000     
  8.617314721667980E-003  1.794288228527427E-004   152.345456505515     
  1.536174946671830E-004   5805.95297002605        17150127.0995705     
   785897.130000000        764461.400000000        21435.7300000000     
  8.611591223860047E-003  1.794733528802155E-004   152.396074732954     
  1.263848202934298E-004   5807.35611424660        17166327.9667671     
   785897.020000000        766812.300000000        19084.7200000000     
  8.606929058433736E-003  1.795096108595281E-004   152.437343917779     
  1.039798418481490E-004   5808.50445835054        17179603.4621342     
   785897.280000000        768759.000000000        17138.2800000000     
  8.603113428812360E-003  1.795392754574608E-004   152.471144582493     
  8.554672535565684E-005   5809.44589766447        17190498.1556809     
   785898.140000000        770369.500000000        15528.6400000000     
  8.599985237225820E-003  1.795635889682421E-004   152.498872372817     
  7.038135554931562E-005   5810.21671267809        17199425.7877597     
   785898.520000000        771699.800000000        14198.7200000000     
  8.597423960247449E-003  1.795834917637955E-004   152.521586389610     
  5.790443980602495E-005   5810.84845000696        17206747.6257367     
   785898.670000000        772797.900000000        13100.7700000000     
  8.595324792455672E-003  1.795998006869671E-004   152.540209881360     
  4.763938010401340E-005   5811.35648933641        17212639.0795176     
   785892.510000000        773697.800000000        12194.7100000000     
  8.593636641492809E-003  1.796129143738437E-004   152.555191845550     
  3.919406774847221E-005   5811.78551646176        17217616.5465087     
   785894.730000000        774447.000000000        11447.7300000000     
  8.592211029420030E-003  1.796239872827504E-004   152.567847274092     
  3.224590545296398E-005   5812.13513099316        17221674.2282118     
   785894.940000000        775063.000000000        10831.9400000000     
  8.591049291262203E-003  1.796330097310804E-004   152.578162573243     
  2.652948464431895E-005   5812.42462683025        17225035.2095034     
   785896.560000000        775572.000000000        10324.5600000000     
  8.590087318344802E-003  1.796404801108480E-004   152.586705701685     
  2.182644728397487E-005   5812.66064558326        17227776.0355789     
   785896.651000000        775990.100000000        9906.55100000000     
  8.589303043212610E-003  1.796465701264221E-004   152.593671786353     
  1.795714494371641E-005   5812.85531233166        17230037.1255667     
   785897.189000000        776334.900000000        9562.28900000000     
  8.588656176432376E-003  1.796515928619515E-004   152.599418101275     
  1.477377652598513E-005   5813.01539887013        17231896.8813355     
   785897.708000000        776618.900000000        9278.80800000000     
  8.588124216628849E-003  1.796557231857031E-004   152.604144148944     
  1.215474250076288E-005   5813.14711383635        17233427.2565708     
   785898.215000000        776852.800000000        9045.41500000000     
  8.587686533420940E-003  1.796591213827230E-004   152.608032951925     
  1.000000000000000E-005   5813.25525521000        17234683.8807126     
   785898.481000000        777045.200000000        8853.28100000000     
  8.587327183743434E-003  1.796619113060904E-004   152.611225985946    
